04/27/2026-16:53:17.936659  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:56252 -> 172.16.10.3:80
04/27/2026-16:53:18.512783  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40254 -> 172.16.10.3:80
04/27/2026-16:53:18.512783  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40254 -> 172.16.10.3:80
04/27/2026-16:53:18.519403  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40370 -> 172.16.10.3:80
04/27/2026-16:53:18.519403  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40370 -> 172.16.10.3:80
04/27/2026-16:53:18.520311  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40386 -> 172.16.10.3:80
04/27/2026-16:53:18.520311  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40386 -> 172.16.10.3:80
04/27/2026-16:53:18.521929  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40446 -> 172.16.10.3:80
04/27/2026-16:53:18.521929  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40446 -> 172.16.10.3:80
04/27/2026-16:53:18.522697  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40468 -> 172.16.10.3:80
04/27/2026-16:53:18.522697  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40468 -> 172.16.10.3:80
